日期,编号,板块,标题,信号等级,事实核验,关联公司,关联赛道,来源,原文URL,摘要,是否推送
2026-06-23,1,大厂动向,OpenAI Daybreak 推出 GPT-5.5-Cyber 与 Codex Security 更新,🔴,一手信源,OpenAI,AI安全/漏洞修复/Codex Security,OpenAI,https://openai.com/index/daybreak-securing-the-world/,从发现漏洞推进到验证和自动补丁,是
2026-06-23,2,大厂动向,火山引擎Force大会发布Seed2.1与豆包音频生成1.0,🔴,一手信源/微信文章,字节Seed/豆包/TRAE/火山方舟/火山引擎,大模型/Agent/代码工程/音频生成/API平台,字节Seed/火山引擎微信,https://seed.bytedance.com/zh/blog/seed2-1-%E6%AD%A3%E5%BC%8F%E5%8F%91%E5%B8%83-%E6%B7%B1%E5%85%A5-ai-%E7%94%9F%E4%BA%A7%E5%8A%9B,模型产品入口和云API打包推进生产力AI,是
2026-06-23,3,大厂动向,京东开源JoyAI-VL-Interaction实时视频交互系统,🟡,微信文章,京东JoyAI/vLLM-Omni,实时多模态/视频理解/物理世界AI,微信文章,https://mp.weixin.qq.com/s/IY6XGp4k6VgD9ZPH6YprCA,全栈开源边看边说模型和可部署系统,是
2026-06-23,4,大厂动向,千问高考志愿Agent测评对标人类咨询师,🟡,微信文章,阿里/千问/夸克,教育AI/垂直Agent/高考志愿,微信文章,https://mp.weixin.qq.com/s/oGHVP4MgGS1rbmT8s8St8Q,44道事实题全对并减少咨询师耗时,否
2026-06-22,5,大厂动向,xAI Grok Build推出goal长任务模式,🟡,一手信源,xAI/Grok Build,Agent长任务/AI编程,xAI,https://x.ai/news/introducing-goal,设定目标后自动规划清单并持续执行验证,是
2026-06-22,6,大厂动向,Google DeepMind向A24投资7500万美元合作电影AI工具,🟡,媒体报道,Google DeepMind/A24,AI影视/生成式媒体,TechCrunch,https://techcrunch.com/2026/06/22/google-deepmind-bets-75m-on-ais-future-in-hollywood-with-a24-deal/,科技公司与工作室合作开发电影AI工具,否
2026-06-18,7,大厂动向,OpenAI o3 Deep Research辅助重析376例罕见病病例,🟡,一手信源,OpenAI/Boston Childrens/Harvard,医疗AI/罕见病/专家辅助,OpenAI,https://openai.com/index/diagnose-rare-childhood-diseases/,专家复核后确认18例新诊断,是
2026-06-22,8,初创动向,Sakana AI推出Fugu多智能体编排系统,🟡,单源线索,Sakana AI/Fugu,多Agent编排/API产品,X线索,https://x.com/berryxia/status/2069090959938466298,将任务拆解模型调度和验证封装为单个API调用,否
2026-06-22,9,初创动向,Inception Labs Mercury 2主打扩散式高速推理,🟡,媒体报道,Inception Labs/Mercury 2,扩散语言模型/高速推理/API,Decrypt,https://decrypt.co/371722/inception-labs-mercury-2-ai-beats-googles-diffusiongemma,约1000 tokens/s面向速度敏感工作流,否
2026-06-19,10,生态动向,FERC要求加速AI数据中心等大型用户并网,🔴,媒体报道,FERC/AI数据中心,算力基础设施/电力/监管,TechCrunch,https://techcrunch.com/2026/06/18/ai-data-centers-just-got-a-government-mandated-fast-lane-to-the-grid/,六大电网运营商需为数据中心并网开快车道,是
2026-06-19,11,生态动向,AlphaFold负责人John Jumper将加入Anthropic,🟡,一手线索,Google DeepMind/Anthropic/John Jumper,AI人才/AI for Science,Demis Hassabis X,https://x.com/demishassabis/status/2068002732250640603,AlphaFold关键人物离开DeepMind并转投Anthropic,是
